BirthDate,BirthsCount
1/1/2012,35
1/2/2012,32
1/3/2012,30
1/4/2012,31
1/5/2012,44
1/6/2012,29
1/7/2012,45
1/8/2012,43
1/9/2012,38
1/10/2012,27
1/11/2012,38
1/12/2012,33
1/13/2012,55
1/14/2012,47
1/15/2012,45
1/16/2012,37
1/17/2012,50
1/18/2012,43
1/19/2012,41
1/20/2012,52
1/21/2012,34
1/22/2012,53
1/23/2012,39
1/24/2012,32
1/25/2012,37
1/26/2012,43
1/27/2012,39
1/28/2012,35
1/29/2012,44
1/30/2012,38
1/31/2012,24
2/1/2012,23
2/2/2012,31
2/3/2012,44
2/4/2012,38
2/5/2012,50
2/6/2012,38
2/7/2012,51
2/8/2012,31
2/9/2012,31
2/10/2012,51
2/11/2012,36
2/12/2012,45
2/13/2012,51
2/14/2012,34
2/15/2012,52
2/16/2012,47
2/17/2012,45
2/18/2012,46
2/19/2012,39
2/20/2012,48
2/21/2012,37
2/22/2012,35
2/23/2012,52
2/24/2012,42
2/25/2012,45
2/26/2012,39
2/27/2012,37
2/28/2012,30
3/1/2012,35
3/2/2012,28
3/3/2012,45
3/4/2012,34
3/5/2012,36
3/6/2012,50
3/7/2012,44
3/8/2012,39
3/9/2012,32
3/10/2012,39
3/11/2012,45
3/12/2012,43
3/13/2012,39
3/14/2012,31
3/15/2012,27
3/16/2012,30
3/17/2012,42
3/18/2012,46
3/19/2012,41
3/20/2012,36
3/21/2012,45
3/22/2012,46
3/23/2012,43
3/24/2012,38
3/25/2012,34
3/26/2012,35
3/27/2012,56
3/28/2012,36
3/29/2012,32
3/30/2012,50
3/31/2012,41
4/1/2012,39
4/2/2012,41
4/3/2012,47
4/4/2012,34
4/5/2012,36
4/6/2012,33
4/7/2012,35
4/8/2012,38
4/9/2012,38
4/10/2012,34
4/11/2012,53
4/12/2012,34
4/13/2012,34
4/14/2012,38
4/15/2012,35
4/16/2012,32
4/17/2012,42
4/18/2012,34
4/19/2012,46
4/20/2012,30
4/21/2012,46
4/22/2012,45
4/23/2012,54
4/24/2012,34
4/25/2012,37
4/26/2012,35
4/27/2012,40
4/28/2012,42
4/29/2012,58
4/30/2012,51
5/1/2012,32
5/2/2012,35
5/3/2012,38
5/4/2012,33
5/5/2012,39
5/6/2012,47
5/7/2012,38
5/8/2012,52
5/9/2012,30
5/10/2012,34
5/11/2012,40
5/12/2012,35
5/13/2012,42
5/14/2012,41
5/15/2012,42
5/16/2012,38
5/17/2012,24
5/18/2012,34
5/19/2012,43
5/20/2012,36
5/21/2012,55
5/22/2012,41
5/23/2012,45
5/24/2012,41
5/25/2012,37
5/26/2012,43
5/27/2012,39
5/28/2012,33
5/29/2012,43
5/30/2012,40
5/31/2012,38
6/1/2012,45
6/2/2012,46
6/3/2012,34
6/4/2012,35
6/5/2012,48
6/6/2012,51
6/7/2012,36
6/8/2012,33
6/9/2012,46
6/10/2012,42
6/11/2012,48
6/12/2012,34
6/13/2012,41
6/14/2012,35
6/15/2012,40
6/16/2012,34
6/17/2012,30
6/18/2012,36
6/19/2012,40
6/20/2012,39
6/21/2012,45
6/22/2012,38
6/23/2012,47
6/24/2012,33
6/25/2012,30
6/26/2012,42
6/27/2012,43
6/28/2012,41
6/29/2012,41
6/30/2012,59
7/1/2012,43
7/2/2012,45
7/3/2012,38
7/4/2012,37
7/5/2012,45
7/6/2012,42
7/7/2012,57
7/8/2012,46
7/9/2012,51
7/10/2012,41
7/11/2012,47
7/12/2012,26
7/13/2012,35
7/14/2012,44
7/15/2012,41
7/16/2012,42
7/17/2012,36
7/18/2012,45
7/19/2012,45
7/20/2012,45
7/21/2012,47
7/22/2012,38
7/23/2012,42
7/24/2012,35
7/25/2012,36
7/26/2012,39
7/27/2012,45
7/28/2012,43
7/29/2012,47
7/30/2012,36
7/31/2012,41
8/1/2012,50
8/2/2012,39
8/3/2012,41
8/4/2012,46
8/5/2012,64
8/6/2012,45
8/7/2012,34
8/8/2012,38
8/9/2012,44
8/10/2012,48
8/11/2012,46
8/12/2012,44
8/13/2012,37
8/14/2012,39
8/15/2012,44
8/16/2012,45
8/17/2012,33
8/18/2012,44
8/19/2012,38
8/20/2012,46
8/21/2012,46
8/22/2012,40
8/23/2012,39
8/24/2012,44
8/25/2012,48
8/26/2012,50
8/27/2012,41
8/28/2012,42
8/29/2012,51
8/30/2012,41
8/31/2012,44
9/1/2012,38
9/2/2012,68
9/3/2012,40
9/4/2012,42
9/5/2012,51
9/6/2012,44
9/7/2012,45
9/8/2012,36
9/9/2012,57
9/10/2012,44
9/11/2012,42
9/12/2012,53
9/13/2012,42
9/14/2012,34
9/15/2012,40
9/16/2012,56
9/17/2012,44
9/18/2012,53
9/19/2012,55
9/20/2012,39
9/21/2012,59
9/22/2012,55
9/23/2012,73
9/24/2012,55
9/25/2012,44
9/26/2012,43
9/27/2012,40
9/28/2012,47
9/29/2012,51
9/30/2012,56
10/1/2012,49
10/2/2012,54
10/3/2012,56
10/4/2012,47
10/5/2012,44
10/6/2012,43
10/7/2012,42
10/8/2012,45
10/9/2012,50
10/10/2012,48
10/11/2012,43
10/12/2012,40
10/13/2012,59
10/14/2012,41
10/15/2012,42
10/16/2012,51
10/17/2012,49
10/18/2012,45
10/19/2012,43
10/20/2012,42
10/21/2012,38
10/22/2012,47
10/23/2012,38
10/24/2012,36
10/25/2012,42
10/26/2012,35
10/27/2012,28
10/28/2012,44
10/29/2012,36
10/30/2012,45
10/31/2012,46
11/1/2012,48
11/2/2012,49
11/3/2012,43
11/4/2012,42
11/5/2012,59
11/6/2012,45
11/7/2012,52
11/8/2012,46
11/9/2012,42
11/10/2012,40
11/11/2012,40
11/12/2012,45
11/13/2012,35
11/14/2012,35
11/15/2012,40
11/16/2012,39
11/17/2012,33
11/18/2012,42
11/19/2012,47
11/20/2012,51
11/21/2012,44
11/22/2012,40
11/23/2012,57
11/24/2012,49
11/25/2012,45
11/26/2012,49
11/27/2012,51
11/28/2012,46
11/29/2012,44
11/30/2012,52
12/1/2012,45
12/2/2012,32
12/3/2012,46
12/4/2012,41
12/5/2012,34
12/6/2012,33
12/7/2012,36
12/8/2012,49
12/9/2012,43
12/10/2012,43
12/11/2012,34
12/12/2012,39
12/13/2012,35
12/14/2012,52
12/15/2012,47
12/16/2012,52
12/17/2012,39
12/18/2012,40
12/19/2012,42
12/20/2012,42
12/21/2012,53
12/22/2012,39
12/23/2012,40
12/24/2012,38
12/25/2012,44
12/26/2012,34
12/27/2012,37
12/28/2012,52
12/29/2012,48
12/30/2012,55
12/31/2012,50
